word,positive_probability,negative_probability,neutral_probability
thinks,0.37309534754562107,0.29098142806808425,0.33592322438629474
dont,0.7797435315604087,0.054730225700268816,0.16552624273932254
havin,0.19967266143749476,0.32399876971079333,0.4763285688517119
leno,0.08444856674987229,0.4893944120810012,0.42615702116912646
show,0.12458854006361751,0.36100633594563974,0.5144051239907429
happy,0.2581769040982682,0.1496180918834316,0.5922050040183002
day,0.16638253798524358,0.3374757041129379,0.4961417579018186
totally,0.22858219592006057,0.39740230186198433,0.3740155022179552
felt,0.7866642536991925,0.07912068956165424,0.13421505673915335
bad,0.2608102702664919,0.2605934038827858,0.4785963258507223
miss,0.32540582915941757,0.2693977793284535,0.4051963915121289
guys,0.5192631473637915,0.08597777067993277,0.39475908195627557
looking,0.2644816901207288,0.38206890241159513,0.3534494074676761
past,0.29822127425762207,0.33124698543884834,0.37053174030352953
lives,0.06293834663851425,0.7002986381537475,0.2367630152077383
kind,0.36268581314836495,0.3796851610438741,0.25762902580776087
hair,0.19999249833162874,0.46359678989704617,0.3364107117713251
doc,0.3204351295986706,0.2863773872319043,0.39318748316942514
baby,0.17860227474491355,0.4448434707263593,0.37655425452872715
girl,0.194057672889674,0.4498394437643567,0.35610288334596935
sitting,0.06186608910756466,0.82460738867619,0.11352652221624533
waitin,0.19345013119955554,0.7473851984234906,0.05916467037695386
congrats,0.06261478732146801,0.7075843913737654,0.22980082130476648
college,0.3104042564237719,0.3419862514067151,0.3476094921695131
also,0.09898075531650925,0.40152771436906365,0.49949153031442706
know,0.27225794715012674,0.3377009354481084,0.3900411174017648
mad,0.40173946398441185,0.23822944543560362,0.3600310905799845
bored,0.3637711505577411,0.28435083948291257,0.35187800995934637
gon,0.8702285181192916,0.04034502802279999,0.08942645385790839
get,0.8516973589843498,0.053072442485785895,0.09523019852986417
pass,0.5819259352057687,0.185442628840554,0.23263143595367733
tomorrow,0.2753358200268106,0.4900832482143255,0.234580931758864
excited,0.20022158130115686,0.563583781989072,0.2361946367097712
cold,0.09591235637550499,0.7090576688481391,0.19502997477635586
find,0.4673272521371812,0.17195201623993236,0.3607207316228865
mean,0.6719276539969422,0.1533826369675992,0.17468970903545858
right,0.06371936920436251,0.7336065426306001,0.20267408816503726
need,0.446023071202853,0.23956523060698245,0.31441169819016457
make,0.29788573955376463,0.4240036704696334,0.278110589976602
sorry,0.4542483462632023,0.2552678475751008,0.29048380616169683
hit,0.19776523955491318,0.3667470769182482,0.4354876835268386
came,0.12623321316942207,0.4876958960288369,0.38607089080174106
goodnight,0.17280303427098656,0.45064089513805394,0.37655607059095947
world,0.4563716658521137,0.26447546914756853,0.27915286500031766
much,0.2510346186449309,0.5877352039248863,0.16123017743018273
longer,0.3863596484888034,0.2985363522454905,0.31510399926570615
party,0.24918659318759953,0.350705257887273,0.40010814892512747
bed,0.7376812279601238,0.0777271538824831,0.18459161815739314
wondering,0.35473695644984926,0.3197854390315647,0.325477604518586
time,0.2573703872108899,0.44745210315718076,0.29517750963192935
stress,0.3436024472567109,0.3704627129978523,0.285934839745437
sending,0.39184734968533,0.2375632143364353,0.3705894359782347
pray,0.264508431083394,0.4033876947159406,0.33210387420066556
